Partida,Tiempo,Cantidad_palabras_a_adivinar,Nombre_del_evento,Nick,Genero,Edad,Estado,Palabra,Nivel
0,1623626027.067258,4,inicio_partida,pepe,Hombre,22,,,1
0,1623626029.247274,4,intento,pepe,Hombre,22,ok,Banpresto World Figure Colosseum,1
0,1623626030.322723,4,intento,pepe,Hombre,22,error,MIX,1
0,1623626031.8071465,4,intento,pepe,Hombre,22,error,Naruto the Movie: Legend of the Stone of Gelel,1
0,1623626033.5451875,4,intento,pepe,Hombre,22,ok,MIX,1
0,1623626034.27357,4,intento,pepe,Hombre,22,error,Naruto the Movie: Legend of the Stone of Gelel,1
0,1623626036.283599,4,intento,pepe,Hombre,22,ok,Magic Kaito 1412,1
0,1623626036.9377415,4,intento,pepe,Hombre,22,ok,Naruto the Movie: Legend of the Stone of Gelel,1
0,1623626038.8530748,4,fin,pepe,Hombre,22,finalizada,,1
1,1623626039.8743012,4,inicio_partida,pepe,Hombre,22,,,1
1,1623626041.0206912,4,intento,pepe,Hombre,22,error,Banpresto World Figure Colosseum,1
1,1623626042.595151,4,intento,pepe,Hombre,22,error,Naruto the Movie: Legend of the Stone of Gelel,1
1,1623626044.2323465,4,intento,pepe,Hombre,22,error,MIX,1
1,1623626046.1921577,4,intento,pepe,Hombre,22,error,Banpresto World Figure Colosseum,1
1,1623626048.1305838,4,intento,pepe,Hombre,22,ok,Magic Kaito 1412,1
1,1623626049.110241,4,intento,pepe,Hombre,22,ok,Banpresto World Figure Colosseum,1
1,1623626049.8958569,4,intento,pepe,Hombre,22,error,Naruto the Movie: Legend of the Stone of Gelel,1
1,1623626052.843161,4,intento,pepe,Hombre,22,error,MIX,1
1,1623626054.4843392,4,intento,pepe,Hombre,22,ok,MIX,1
1,1623626055.0281618,4,intento,pepe,Hombre,22,ok,Naruto the Movie: Legend of the Stone of Gelel,1
1,1623626056.6569047,4,fin,pepe,Hombre,22,finalizada,,1
2,1623626057.7222288,4,inicio_partida,pepe,Hombre,22,,,1
2,1623626058.7372413,4,intento,pepe,Hombre,22,error,MIX,1
2,1623626060.5065682,4,intento,pepe,Hombre,22,error,MIX,1
2,1623626062.355547,4,intento,pepe,Hombre,22,ok,MIX,1
2,1623626063.439146,4,intento,pepe,Hombre,22,error,Magic Kaito 1412,1
2,1623626065.419562,4,intento,pepe,Hombre,22,ok,Magic Kaito 1412,1
2,1623626066.1614203,4,intento,pepe,Hombre,22,error,Naruto the Movie: Legend of the Stone of Gelel,1
2,1623626067.7732923,4,intento,pepe,Hombre,22,ok,Banpresto World Figure Colosseum,1
2,1623626068.5265746,4,intento,pepe,Hombre,22,ok,Naruto the Movie: Legend of the Stone of Gelel,1
2,1623626070.2504358,4,fin,pepe,Hombre,22,finalizada,,1
